2020-09-16 11:17:53.254 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:18:00.885 INFO  Starter:26 - #####################################
2020-09-16 11:18:00.887 INFO  Starter:27 - Starte Tetris
2020-09-16 11:18:00.888 INFO  Starter:28 - Erstelle Context und Beans...
2020-09-16 11:18:01.125 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:18:01.125 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:18:01.153 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:18:01.154 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:18:01.279 INFO  Starter:39 - Lade Spiellayout...
2020-09-16 11:18:01.281 INFO  Starter:42 - Initialisierunge Gamecontroller...
2020-09-16 11:18:01.419 INFO  Starter:51 - Spiel erfolgreich gestartet.
2020-09-16 11:18:01.420 INFO  Starter:52 - #####################################
2020-09-16 11:22:04.817 INFO  Starter:26 - #####################################
2020-09-16 11:22:04.819 INFO  Starter:27 - Starte Tetris
2020-09-16 11:22:04.819 INFO  Starter:28 - Erstelle Context und Beans...
2020-09-16 11:22:05.74 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:05.74 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:05.99 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:05.101 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:22:05.221 INFO  Starter:39 - Lade Spiellayout...
2020-09-16 11:22:05.223 INFO  Starter:42 - Initialisierunge Gamecontroller...
2020-09-16 11:22:05.360 INFO  Starter:51 - Spiel erfolgreich gestartet.
2020-09-16 11:22:05.360 INFO  Starter:52 - #####################################
2020-09-16 11:22:09.710 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:09.710 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:09.710 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:09.711 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:22:14.907 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:22:14.938 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:14.938 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:14.938 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:14.940 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:22:18.274 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:22:18.300 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:18.301 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:18.301 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:18.302 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:22:21.978 WARN  PointHandler:30 - Es können nur maximal 4 Lines gleichzeitig entfernt werden (0)
2020-09-16 11:22:22.2 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:22.2 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:22.3 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:22.3 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:22:34.394 INFO  Starter:26 - #####################################
2020-09-16 11:22:34.396 INFO  Starter:27 - Starte Tetris
2020-09-16 11:22:34.397 INFO  Starter:28 - Erstelle Context und Beans...
2020-09-16 11:22:34.651 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:34.652 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:34.676 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:34.678 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:22:34.799 INFO  Starter:39 - Lade Spiellayout...
2020-09-16 11:22:34.801 INFO  Starter:42 - Initialisierunge Gamecontroller...
2020-09-16 11:22:34.935 INFO  Starter:51 - Spiel erfolgreich gestartet.
2020-09-16 11:22:34.935 INFO  Starter:52 - #####################################
2020-09-16 11:22:36.512 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:22:36.513 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:22:36.513 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:22:36.514 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:23:59.40 INFO  Starter:26 - #####################################
2020-09-16 11:23:59.42 INFO  Starter:27 - Starte Tetris
2020-09-16 11:23:59.42 INFO  Starter:28 - Erstelle Context und Beans...
2020-09-16 11:23:59.302 INFO  FieldGrid:43 - Initialisiere Fieldgrid.
2020-09-16 11:23:59.302 INFO  FieldGrid:45 - Erstelle vertikale Linien
2020-09-16 11:23:59.327 INFO  FieldGrid:52 - Erstelle horizontale Linien
2020-09-16 11:23:59.329 INFO  FieldGrid:59 - Fieldgrid initialisiert.
2020-09-16 11:23:59.446 INFO  Starter:39 - Lade Spiellayout...
2020-09-16 11:23:59.449 INFO  Starter:42 - Initialisierunge Gamecontroller...
2020-09-16 11:23:59.581 INFO  Starter:51 - Spiel erfolgreich gestartet.
2020-09-16 11:23:59.581 INFO  Starter:52 - #####################################
